,AgeGroup,Gender,MaritalStatus,Attrition,BusinessTravel,DistanceFrom_Home,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,HourlyRate,DailyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,40-49,Female,Single,Yes,Travel Rarely,Very Close,Sales,College,Life Sciences,Medium,High,Lvl 2,Sales Executive,Very High,94,1102,5993,19479,8,Yes,11,Excellent,Low,80,Lvl 0,0-10 years,0 year,Bad,0-10 years,4 years,0 year,5 years
1,40-49,Male,Married,No,Travel Frequently,Very Close,Research & Development,Below College,Life Sciences,High,Medium,Lvl 2,Research Scientist,Medium,61,279,5130,24907,1,No,23,Outstanding,Very High,80,Lvl 1,11-20 years,3 years,Better,11-20 years,7 years,1 years,7 years
2,30-39,Male,Single,Yes,Travel Rarely,Very Close,Research & Development,College,Other,Very High,Medium,Lvl 1,Laboratory Technician,High,92,1373,2090,2396,6,Yes,15,Excellent,Medium,80,Lvl 0,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
3,30-39,Female,Married,No,Travel Frequently,Very Close,Research & Development,Master,Life Sciences,Very High,High,Lvl 1,Research Scientist,High,56,1392,2909,23159,1,Yes,11,Excellent,High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,7 years,3 years,0 year
4,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Medical,Low,High,Lvl 1,Laboratory Technician,Medium,40,591,3468,16632,9,No,12,Excellent,Very High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,2 years,2 years,2 years
5,30-39,Male,Single,No,Travel Frequently,Very Close,Research & Development,College,Life Sciences,Very High,High,Lvl 1,Laboratory Technician,Very High,79,1005,3068,11864,0,No,13,Excellent,High,80,Lvl 0,0-10 years,2 years,Good,0-10 years,7 years,3 years,6 years
6,50-59,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,High,Very High,Lvl 1,Laboratory Technician,Low,81,1324,2670,9964,4,Yes,20,Outstanding,Low,80,Lvl 3,11-20 years,3 years,Good,0-10 years,0 year,0 year,0 year
7,30-39,Male,Divorced,No,Travel Rarely,Far,Research & Development,Below College,Life Sciences,Very High,High,Lvl 1,Laboratory Technician,High,67,1358,2693,13335,1,No,22,Outstanding,Medium,80,Lvl 1,0-10 years,2 years,Better,0-10 years,0 year,0 year,0 year
8,30-39,Male,Single,No,Travel Frequently,Far,Research & Development,Bachelor,Life Sciences,Very High,Medium,Lvl 3,Manufacturing Director,High,44,216,9526,8787,0,No,21,Outstanding,Medium,80,Lvl 0,11-20 years,2 years,Better,0-10 years,7 years,1 years,8 years
9,30-39,Male,Married,No,Travel Rarely,Far,Research & Development,Bachelor,Medical,High,High,Lvl 2,Healthcare Representative,High,94,1299,5237,16577,6,No,13,Excellent,Medium,80,Lvl 2,11-20 years,3 years,Good,0-10 years,7 years,7 years,7 years
10,30-39,Male,Married,No,Travel Rarely,Close,Research & Development,Bachelor,Medical,Low,Very High,Lvl 1,Laboratory Technician,Medium,84,809,2426,16479,0,No,13,Excellent,High,80,Lvl 1,0-10 years,5 years,Better,0-10 years,4 years,0 year,3 years
11,20-29,Female,Single,No,Travel Rarely,Close,Research & Development,College,Life Sciences,Very High,Medium,Lvl 2,Laboratory Technician,High,49,153,4193,12682,0,Yes,12,Excellent,Very High,80,Lvl 0,11-20 years,3 years,Better,0-10 years,5 years,0 year,8 years
12,30-39,Male,Divorced,No,Travel Rarely,Far,Research & Development,Below College,Life Sciences,Low,High,Lvl 1,Research Scientist,High,31,670,2911,15170,1,No,17,Excellent,Very High,80,Lvl 1,0-10 years,1 years,Good,0-10 years,2 years,4 years,3 years
13,30-39,Male,Divorced,No,Travel Rarely,Close,Research & Development,College,Medical,Medium,High,Lvl 1,Laboratory Technician,Very High,93,1346,2661,8758,0,No,11,Excellent,High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,1 years,2 years
14,20-29,Male,Single,Yes,Travel Rarely,Far,Research & Development,Bachelor,Life Sciences,High,Medium,Lvl 1,Laboratory Technician,High,50,103,2028,12947,5,Yes,14,Excellent,Medium,80,Lvl 0,0-10 years,4 years,Better,0-10 years,2 years,0 year,3 years
15,20-29,Female,Divorced,No,Travel Rarely,Far,Research & Development,Master,Life Sciences,Medium,Very High,Lvl 3,Manufacturing Director,Low,51,1389,9980,10195,1,No,11,Excellent,High,80,Lvl 1,11-20 years,1 years,Better,11-20 years,9 years,8 years,8 years
16,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Low,Very High,Lvl 1,Research Scientist,Medium,80,334,3298,15053,0,Yes,12,Excellent,Very High,80,Lvl 2,0-10 years,5 years,Good,0-10 years,2 years,0 year,5 years
17,20-29,Male,Divorced,No,Non Travel,Close,Research & Development,College,Medical,Very High,Very High,Lvl 1,Laboratory Technician,Very High,96,1123,2935,7324,1,Yes,13,Excellent,Medium,80,Lvl 2,0-10 years,2 years,Good,0-10 years,0 year,0 year,0 year
18,50-59,Female,Married,No,Travel Rarely,Very Close,Sales,Master,Life Sciences,Low,Medium,Lvl 4,Manager,Very High,78,1219,15427,22021,2,No,16,Excellent,High,80,Lvl 0,31-40 years,3 years,Better,21-29 years,8 years,3 years,7 years
19,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,High,Lvl 1,Research Scientist,Very High,45,371,3944,4306,5,Yes,11,Excellent,High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,1 years,2 years
20,20-29,Female,Divorced,No,Non Travel,Close,Research & Development,College,Other,Low,Very High,Lvl 2,Manufacturing Director,High,96,673,4011,8232,0,No,18,Excellent,Very High,80,Lvl 1,0-10 years,5 years,Good,0-10 years,2 years,1 years,3 years
21,30-39,Male,Single,Yes,Travel Rarely,Very Close,Sales,Master,Life Sciences,High,Medium,Lvl 1,Sales Representative,Low,82,1218,3407,6986,7,No,23,Outstanding,Medium,80,Lvl 0,11-20 years,4 years,Better,0-10 years,3 years,0 year,3 years
22,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Low,High,Lvl 3,Research Director,Medium,53,419,11994,21293,0,No,11,Excellent,High,80,Lvl 0,11-20 years,4 years,Better,11-20 years,6 years,2 years,11 years
23,20-29,Male,Single,No,Travel Rarely,Close,Research & Development,College,Life Sciences,High,High,Lvl 1,Research Scientist,Very High,96,391,1232,19281,1,No,14,Excellent,Very High,80,Lvl 0,0-10 years,6 years,Better,0-10 years,0 year,0 year,0 year
24,30-39,Male,Single,Yes,Travel Rarely,Very Close,Research & Development,Below College,Medical,Medium,High,Lvl 1,Research Scientist,Low,83,699,2960,17102,2,No,11,Excellent,High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,2 years,1 years,3 years
25,50-59,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Bachelor,Other,High,High,Lvl 5,Manager,High,58,1282,19094,10735,4,No,11,Excellent,Very High,80,Lvl 1,21-29 years,3 years,Good,11-20 years,13 years,4 years,8 years
